x,y,power
1,0,92878.69
1,51,81991.78
1,101,80182.51
13,226,81317.82
298,0,93049.82
397.6,72.29,83568.6
543,197.07,79160.94
399,198,77691.9
601,0,101141.4
601,51,87929.83
584,106,84068.2
601,151,81675.62
998,0,109912.41
997.6,72.29,101175.54
966,133,96863.21
840,0,99471.11
1,498,80527.44
0,358,79650.96
71,430,78004.52
182,327,82072.28
998,200,96981.81
997.6,272.29,96126.66
985,414,95541.05
975,494,92503.78
773,401,86053.93
797.6,472.29,81087.71
1000,662,93398.63
749,598,86287.62
7,606,74885.84
0,651,72503.68
51,551,74937.78
7,740,76038.83
601,601,81453.99
601,670,79508.03
601,740,84652.81
636,801,79318.58
0,801,74801.36
1,870,74546.9
0,922,72420.49
104,1000,77767.11
401,901,71233.75
601,870,80593.11
601,940,79780.99
650,998,75091.68
1000,811,93075.19
1000,905,91631.43
1000,1000,89394.96
896,1000,84460.61
0,1000,77552.19
